,Rating(10)
0,-
1,-
2,5.3
3,2.2
4,7.4
5,-
6,7.9
7,6.6
8,-
9,6.3
10,5.6
11,-
12,6.2
13,-
14,-
15,6.9
16,4.5
17,-
18,-
19,7.3
20,6.0
21,-
22,-
23,-
24,-
25,-
26,-
27,-
28,4.1
29,-
30,7.1
31,-
32,-
33,6.6
34,-
35,5.4
36,-
37,4.4
38,6.0
39,6.0
40,7.6
41,5.1
42,-
43,-
44,-
45,6.9
46,-
47,-
48,8.1
49,8.2
50,5.3
51,-
52,-
53,1.3
54,5.5
55,5.2
56,6.6
57,5.2
58,6.4
59,-
60,-
61,-
62,-
63,4.9
64,5.9
65,7.2
66,7.4
67,7.6
68,-
69,6.1
70,6.2
71,-
72,6.5
73,-
74,-
75,-
76,7.6
77,6.9
78,-
79,-
80,-
81,6.8
82,8.3
83,-
84,-
85,-
86,-
87,-
88,-
89,-
90,-
91,3.0
92,7.0
93,9.0
94,7.5
95,-
96,-
97,2.7
98,-
99,5.9
100,-
101,2.1
102,7.1
103,-
104,-
105,-
106,7.1
107,-
108,-
109,-
110,5.9
111,-
112,6.3
113,4.8
114,-
115,6.9
116,5.0
117,-
118,-
119,5.5
120,6.5
121,6.0
122,-
123,-
124,5.0
125,6.1
126,4.7
127,-
128,-
129,8.9
130,-
131,7.7
132,5.9
133,6.6
134,-
135,-
136,5.1
137,-
138,-
139,-
140,-
141,4.3
142,4.4
143,5.3
144,-
145,4.4
146,4.3
147,-
148,-
149,-
150,-
151,-
152,-
153,-
154,4.4
155,5.2
156,7.5
157,6.7
158,6.7
159,-
160,8.4
161,-
162,-
163,4.5
164,6.4
165,-
166,5.1
167,7.0
168,8.0
169,6.8
170,8.1
171,-
172,-
173,6.7
174,-
175,-
176,5.7
177,-
178,6.8
179,6.8
180,-
181,8.5
182,8.0
183,-
184,-
185,-
186,-
187,-
188,-
189,-
190,6.7
191,7.4
192,-
193,-
194,4.7
195,3.4
196,-
197,5.7
198,5.5
199,5.4
200,5.6
201,7.8
202,-
203,6.6
204,8.1
205,-
206,6.6
207,-
208,-
209,-
210,-
211,6.6
212,4.7
213,-
214,-
215,-
216,-
217,-
218,-
219,-
220,6.2
221,-
222,-
223,7.5
224,4.1
225,4.8
226,-
227,-
228,7.7
229,4.7
230,-
231,6.1
232,-
233,-
234,-
235,-
236,6.5
237,6.9
238,7.8
239,-
240,-
241,-
242,-
243,-
244,-
245,6.9
246,7.4
247,-
248,5.2
249,-
250,6.8
251,-
252,-
253,-
254,5.8
255,7.9
256,-
257,3.2
258,-
259,7.2
260,-
261,7.0
262,-
263,6.4
264,-
265,8.5
266,4.7
267,3.6
268,-
269,-
270,4.7
271,3.8
272,-
273,6.5
274,-
275,6.6
276,4.0
277,6.6
278,-
279,-
280,6.3
281,-
282,-
283,-
284,-
285,5.1
286,7.2
287,-
288,7.7
